"","Geographic.Area..Survey.","CensusTotal","CensusOver18","PropCensusTotal","PropCensusOver18"
"1","Brinnon",1341,1182,0.0406647057039755,0.0413822077512866
"2","Cape_George",1875,1671,0.0568578099887801,0.058502258166159
"3","Chimacum",1837,1536,0.0557054917063408,0.0537758638798446
"4","Coyle",441,384,0.0133729569093611,0.0134439659699611
"5","Discovery_Bay",964,811,0.0292324953755648,0.0283933760459336
"6","Gardiner",468,427,0.0141917093731995,0.0149494100759724
"7","Kala_Point",1566,1422,0.0474876429026291,0.0497846864825123
"8","Marrowstone",995,879,0.0301725445007126,0.0307740783531142
"9","Port_Hadlock_Irondale",3805,3041,0.115383449070564,0.106466407590239
"10","Port_Ludlow",5058,4618,0.153379628225733,0.161677694920001
"11","Port_Townsend_insidecitylimits",10148,8813,0.307729629741941,0.308546021076217
"12","Port_Townsend_outsidecitylimits",2014,1706,0.0610728689692816,0.0597276196477961
"13","Quilcene",1689,1406,0.0512175152378931,0.049224521233764
"14","West_End",776,667,0.0235315522940231,0.0233518888071981
