"","Response.ID","Comments"
"1","rAEB9c7P","Yay!"
"2","1KDTGMhx","I feel that improved aquatic programming is essential for promoting water safety, while also supporting community wellness. We need more healthy indoor activities in this community!"
"3","IoCKXw1a",""
"4","xVCYf2V0",""
"5","YwDTzgNp","Please abandon this boondoggle.  The county can't manage its existing facilities.  If this ever were to be successful a private entity would need to do it."
"6","NhkQld3v","Hadlock"
"7","aifBM6kn","Let Hadlock residents pay for a pool and maintenance of it if they want one ."
"8","ehEBUKfq","To succeed, the aquatic center must use the lowest cost, fastest building methods and materials. Sprung and Myrtha products are the only way forward to keep down costs to what we can afford."
"9","hyCYQjqi",""
"10","IyDTlS3G",""
"11","oLCYTVQZ","Stop trying to shove this thing down our throats! We voted NO."
"12","NRB6z6zn","I strongly support building this facility and having an aquatic facility for our community. Happy to pay additional tax to support!!"
"13","nhCi0qb1","Jefferson County, certainly cannot afford a facility like an aquatic center when their failure to keep up with general maintenance is blatantly obvious! To encumber an already overtaxed population for the benefit of very few is obscene!"
"14","OqEBYhpk","Please include kid-focused features (lazy river, slide, etc.). We often make the drive to Port Angeles and Silverdale for these features because the Mountain View pool lacks a kid area and it's hard to convince our 8 year old to swim there."
"15","ebCinu1X","Waste of time energy and money. It is my belief there are much bigger priorities than a pool."
"16","L9CYFNBo","Obvious: Try to keep the cost down so more folks will support the tax increase. I sure hope this happens. We have needed this for over 20 years."
"17","2mEBqjKl","Please put in an indoor climbing wall and indoor and outdoor pickleball!  Nothing to do here in the winter!"
"18","PACiwVEY","Curious about cost. How will it be funded for construction and ongoing funding. Is the sales tax adequate.   I understand this question has a depends answer. More information is needed."
"19","ySkEzqSM","South County shouldn’t have to pay for something well very rarely use."
"20","BTfHnjpr","Go for it, but not at my expense."
"21","7jC475CE",""
"22","rcDT90D9",""
"23","0UB653Ly","Jefferson County does a poor job of making facilities accessible to disabled residents.  It is imperative that the facility be barrier-free."
"24","NdksaFh6","We can’t afford life right now. Taxes have gotten out of control. No new taxes until the basics can be affordable again. We are being taxed out of our homes. Food, gas and insurances are too expensive. We barely make it pay check to pay check."
"25","K9fMa1Xb",""
"26","oQCYUBvZ",""
"27","KcEB2buk","I would not use it myself but do know several who currently use the pool regularly and support the new pool and tax increase to finance it."
"28","GDkzxw9h",""
"29","VWCYUW6I","Having a facility that works with local scuba shops will help facilitate a vibrant community of diving professionals and the general public. It is also very important to have a pricing structure that allows anyone to use the pool while raising enough funds for continued maintenance and growth without the need for outside fickle funding sources such as city or county budgets."
"30","5dCijlc2","Although myself and husband wouldn't use the facility as much as others, we support having a facility in the county for children & families to take advantage of. That said, we believe having a proposed facility more centrally located is key to its success. If the purposed facility were to be built within PT city limits, we would not support it or the taxes to fund it."
"31","MJC4Ok4W",""
"32","wJDTzue3",""
"33","PskjsdV7",""
"34","UCfItFRI",""
"35","zbkJoqEb",""
"36","afCihzFV","Good location. Much better than in town. I think a lot of it it needs to be geared to kids. They need the recreation and swim lessons."
"37","GVC4NW2g","More important uses of public funds. Tax rate already high."
"38","bSC46WEC",""
"39","srk4CTiJ","I think it is important for our Jefferson county youth.   Also for competitive swimming with a regulation sized pool"
"40","GOB62Idy","We're less likely to use a facility in Port Hadlock than a facility located closer to Port Townsend. We would still use it but at a lower frequency because it would require driving to get there."
"41","T6CYMriI",""
"42","3hEB26pX","Please don’t raise our cost of living any more than it already is to build a pool. I struggle to afford the high cost of living here as it is."
"43","G2CiTog4",""
"44","M5B6BhW6","Port Townsend would be more accessible to more people."
"45","YDCKapcH",""
"46","nTCiuIq4","N/A"
"47","4fB6QjlM","Complete misprioritization of need for this county. We’re struggling with basic needs, and shouldn’t be focused so heavily on luxuries at this time. Not to mention, the creation of the PFD and tax hike give us no guarantee you’ll ever actually build an aquatic center. It’s a ruse and a scam by an already untrusted county government. Regroup."
"48","9Qk1CNOV","Perhaps there is a need for a better facility than Mt. View, but from what I know that facility isn't used much, so when there are so many other perhaps more important matters to attend to in our county, spend tax payers money on a pool. Cut the costs and help PT improve the Mt. View pool. I believe there are already 6 or 7 pools in the county. Do we really need another?"
"49","pdCiEhCj",""
"50","2mCYYzfN","Just wish the new center was in walking distance of PT"
"51","XVDTtouz","it is time to cut taxes  We need to put tax money towards needs not wants"
"52","PzDTRV2o",""
"53","yBC4MV3k","I currently drive to the Sequim YMCA 2-3 times per week (from Port Townsend) exclusively for masters swimming because they have a coach, a full length lap pool, and overall better facilities. I would love to have a similar program in Jefferson County and would attend as much as possible!"
"54","7nCY66bz","I think it is imperative to build a new pool with fun amenities for kids that will prevent parents from continuing to take their children out of county to more exciting pools like Port Angeles or Bainbridge Island. This pool absolutely needs to compete with those fun pools to keep our business in this county. Spend money to make money. Include a lazy river and whirlpool. Put in slides, water play features, and make the pool zero entry for those with disabilities or emerging skills. Thanks for all your hard work!"
"55","yICYyZXP",""
"56","TDCiaB8i",""
"57","8pkPssCw",""
"58","ZREBdA4z","This needs to be built as a multi-use fitness center. Pool, weight room, aerobics classes, indoor track around it all."
"59","2PfG2zZ5",""
"60","DKCKAx4A","I believe you caved to criticism by idiots. Ludlow-ites already have pools. Chimacum and Hadlock residents will not be using the pool the way Port Townsend residents would have. I'm afraid that you will spend an incredible amount of money on a facility that will be ignored by the local residents.  You assumed that you would hear from PT residents. But you did not. Those of us heartbroken by the past and future closure of Mountain View are silent, grieving and not inclined to public speeches and the bullying atmosphere of public meetings. But oh, we would have all shown up in droves to a new PT facility. I know you can't bank on a silent bunch of people. But you could have banked on my daily use. And so many others who never spoke about it."
"61","WTCi3JsL",""
"62","mPCK1NWs","If it could have a gym or rock climbing area, we would use this facility up to 6 days a week."
"63","aXCiKFc4",""
"64","J5CKVL0Y","Money would be better spent in MAJOR and EXTENSIVE repairs to our roads."
"65","uqCi57LE","Would love to keep the facilities in Port Townsend. Most East county residents have business in the city to accomplish anyway. In my opinion, the facilities will be much better utilized in Port Townsend."
"66","c3B6A6lJ",""
"67","lkfOSlMH",""
"68","svDTiZ9H","The facility would be a nice addition, but being so far from Port Townsend my family would likely not use it ... just too far to drive/bike (we try not to drive)."
"69","uCDT5lYr","For the sake of community harmony and togetherness, I hope we approach a design that could be developed in stages, focusing on a lap pool first. When this project over-reaches is when a larger portion of the community pushes back. All that said, we love having a pool and will use it often!"
