"","IP.address","Number_of_Responses","Entries_Under_10min_Apart","Unique_User_Agents","Mean_Time_Taken_Seconds","Time_Taken_Range_Seconds","Avg_Questions_Answered","Prop_Duplicate_Responses","Unique_Response_Ratio","Hour_of_Day_STD","All_Mobile_User_Agents"
"1","104.28.116.100",2,1,2,348,"51-645",57,0,1,2.12132034355964,FALSE
"2","104.28.116.107",3,2,3,382.333333333333,"234-486",57.3333333333333,0,1,5.29150262212918,TRUE
"3","104.28.116.109",3,2,2,681.333333333333,"500-861",58.3333333333333,0,1,3.05505046330389,TRUE
"4","104.28.116.129",9,8,5,559.111111111111,"246-1563",57.7777777777778,0,1,4.82182538049648,FALSE
"5","104.28.116.130",10,3,6,561.1,"72-950",57.6,0,1,2.94580681270476,FALSE
"6","104.28.116.131",12,11,7,481,"68-1372",57.75,0,1,4.25245027405769,FALSE
"7","104.28.116.132",4,3,3,537,"293-977",57.75,0,1,3.30403793359983,TRUE
"8","104.28.116.133",8,1,5,725.625,"18-1991",58.25,0,1,3.16227766016838,TRUE
"9","104.28.116.134",10,3,5,544.4,"294-936",58.5,0,1,2.88482620312251,FALSE
"10","104.28.116.135",9,8,4,544.444444444444,"285-1244",58,0,1,3.86580450158107,FALSE
"11","104.28.116.136",10,4,6,586.2,"250-1300",57.3,0,1,4.16466618643613,FALSE
"12","104.28.116.28",2,1,2,1695.5,"833-2558",57.5,0,1,0.707106781186548,TRUE
"13","104.28.116.29",3,2,3,551.666666666667,"276-960",57.6666666666667,0,1,5.5075705472861,FALSE
"14","104.28.116.88",3,2,3,451,"234-683",58,0,1,6.80685928555405,TRUE
"15","104.28.116.92",2,1,1,402,"230-574",57,0,1,3.53553390593274,TRUE
"16","104.28.116.96",2,1,2,307.5,"301-314",57.5,0,1,2.12132034355964,FALSE
"17","107.77.205.110",2,1,2,560.5,"469-652",57.5,0,1,4.24264068711928,FALSE
"18","107.77.205.189",2,1,2,190.5,"136-245",57,0,1,2.82842712474619,FALSE
"19","107.77.205.197",2,1,2,566.5,"512-621",58,0,1,2.82842712474619,TRUE
"20","107.77.205.71",2,1,2,678,"603-753",58,0,1,2.12132034355964,FALSE
"21","12.39.134.2",2,1,2,162,"44-280",56.5,0,1,2.12132034355964,FALSE
"22","135.26.151.62",2,1,2,587.5,"442-733",58,0,1,3.53553390593274,TRUE
"23","146.75.136.223",8,7,7,335.625,"232-498",57.875,0,1,3.97986001189561,FALSE
"24","146.75.136.230",2,1,2,337.5,"280-395",58,0,1,0.707106781186548,TRUE
"25","146.75.136.236",2,1,2,370.5,"54-687",56.5,0,1,0.707106781186548,TRUE
"26","146.75.136.237",4,3,2,422.5,"289-685",58.25,0,1,2.08166599946613,TRUE
"27","15.181.1.224",2,1,2,956,"500-1412",57,0,1,7.07106781186548,TRUE
"28","15.220.1.201",2,1,2,155.5,"152-159",57.5,0,1,2.82842712474619,FALSE
"29","152.157.116.209",2,1,2,424,"323-525",57.5,0,1,1.4142135623731,FALSE
"30","166.198.252.11",2,1,2,289,"268-310",59,0,1,0.707106781186548,TRUE
"31","166.198.252.113",2,1,2,355,"257-453",57.5,0,1,2.82842712474619,TRUE
"32","166.198.252.142",2,1,2,300.5,"280-321",57.5,0,1,7.07106781186548,TRUE
"33","166.198.252.27",2,1,2,301,"230-372",58,0,1,7.07106781186548,TRUE
