"","Response.ID","City.area","Age","Comments"
"1","DKCKAx4A","Port Townsend (within city limits)","55-64","I believe you caved to criticism by idiots. Ludlow-ites already have pools. Chimacum and Hadlock residents will not be using the pool the way Port Townsend residents would have. I'm afraid that you will spend an incredible amount of money on a facility that will be ignored by the local residents.  You assumed that you would hear from PT residents. But you did not. Those of us heartbroken by the past and future closure of Mountain View are silent, grieving and not inclined to public speeches and the bullying atmosphere of public meetings. But oh, we would have all shown up in droves to a new PT facility. I know you can't bank on a silent bunch of people. But you could have banked on my daily use. And so many others who never spoke about it."
"2","0ICYM4Iv","Port Ludlow","35-54","I moved to port Ludlow for access to the HOA amenities. Due to this I already pay for these services and would not utilize them. I see the value for the community but I do not think a sales tax is the way to pay for it."
"3","Xrf5qhft","Port Townsend (within city limits)","65-74","Multi purpose in all areas       Add diving well"
"4","TeDTioHr","Port Townsend (outside the city limits)","65-74","Fix the current pool. People are already over taxed and struggling. Why would you keep adding to their burden?  For many people it takes away from their food budget. Very disappointing."
"5","F1CiXfoC","Port Townsend (within city limits)","75+","The City of Port Townsend should partner with the YMCA  to build and operate a pool within the city limits. Leave the County Commissioners out of it. I don't want a pool in Chimacum."
"6","2mf4V8P0","Port Townsend (within city limits)","75+","Honestly, the pool needs to be in the most populous area of the county, PT, or have air pollution ( vehicle emissions) become a problem.  I would like the opportunity to complete a survey of this sort for PT, it was never offered!  This makes it totally unfair.  The last attempt suffered by voting by yard sign!!! That is not democratic!!"
"7","orEB355p","Port Townsend (within city limits)","35-54","We regularly visit the Mountain View Pool.  Port Hadlock is too far for us to travel for lap swim.  Buses from PT do not run frequently enough to accommodate the non-driving population’s utilization of a Port Hadlock pool.  Our household wants to see Mountain View pool maintained, and we would pay a sales tax for that.  Another concern:  Nearly all of the high school swim team members are PTHS students, so if Mountain View is not maintained, approx. 20 students would need to be bussed to Hadlock 6 days a week.   We would pay a sales tax to support Mountain View.  We’re not in favor of doing anything that will lead to the closure of our existing pool."
"8","iNCiCpUd","Port Townsend (within city limits)","65-74",""
"9","ubCincvz","Port Townsend (within city limits)","35-54",""
"10","WPB6fGWn","Port Ludlow","55-64","I have a pool why would I need another."
"11","OVf3Gkr6","Port Ludlow","65-74","Great idea, but we have more pressing issues in the county, such as housing and water systems."
"12","EtC4Ye2g","Port Ludlow","65-74",""
"13","k4kPW46e","Port Ludlow","55-64","Create meeting rooms that seniors and parent/toddler groups use during the day and teens or adult groups use at night. Offer cpr classes and have blood draw/donation sessions. Really engage the “social” aspect of the flu but PLEASE ensure it does not become an under supervised teen hang out. Adequate staff with firm behavior rules is essential to get right, from the start otherwise it will not be a multi generational use facility. I have lived in two other states where a great new facility was built and then run by the Y, but immediately turned into a teen posing, hook-up, hang out space. I’m not anti-teens, just saying the appropriate management of the facility once built is as important for its community success."
"14","huCizUTt","Port Ludlow","65-74","Any pool built needs to be privately funded. We should be looking for businesses to help sponsor this."
"15","z4B6rjRK","Port Townsend (within city limits)","75+","The Hadlock location is a deal breaker for me. Too far to have to go in my senior years. Mountain View is the best location and could be redone for less than a new facility in Hadlock. Probably would hardly ever use in Hadlock."
"16","EzCK03aQ","Port Townsend (within city limits)","35-54","Pools are a great place to build community. It’s also incredibly important that people have a place to learn and practice swimming, being that Port Townsend is surrounded by water"
"17","t7B63nMy","Kala Point","75+","There needs to be a far better appeal to the County than what I've seen thus far.  Just a County location is meaningless if the thing doesn't add significantly to the value of Jefferson life!"
"18","3gB6p7OS","Port Townsend (within city limits)","65-74","I just want to keep Mountain View operating. I would support a tax increase to fix and moderately expand pool size. I will not support any plan that closes Mountain View pool. Let’s just do a Port Townsend only tax to fix local pool."
"19","duCiYYxX","Port Townsend (within city limits)","55-64","I live in town and ride my bike to the pool multiple times per week.  A pool in Hadlock wouldn’t allow that, and I would use it less than currently.  I would like a pool in PT.  New or keep the current one open.  Or make two new pools.  Pool should have a hot tub and weight room/fitness room."
"20","hoC4mje3","Port Townsend (outside the city limits)","55-64","I believe that siting a new aquatic and recreation facility in Port Hadlock does not serve county residents as well as it would in Port Townsend. Though a Hadlock facility would be more centrally located for county residents, the proposed site is a more difficult to access than if it were in Port Townsend.. This is because both the larger population base as well as workforce core is in Port Townsend. A much greater number of people on the road to make the trip down the highway will increase congestion and crashes, as well as deter many people, including myself and my wife who are avid swimmers, from using the facility. For those people who would walk or bicycle to the facility, they would also choose not to travel or cannot. Included in this group are children who would go to the facility on their own by bike or walk, but are unable to drive. Please reconsider this wrong headed decision that seems fair, but would be detrimental to the viability of the facility as well as fairness to the vast majority of users. Let’s be honest and admit that much of this decision was driven by a loud campaign of county residents whose motives are not in the best interest of a thriving community."
"21","koC4pEGA","Port Ludlow","55-64",""
"22","o8CKGCEv","Coyle","55-64","I vote in King County, but would probably use such a facility erratically.  However, I think it is extremely important to have such a facility available"
"23","RBC4O274","Port Townsend (outside the city limits)","65-74","Don't try to stick residents with this financial black hole. It didn't work in Sequim, it won't work here. Let the private sector build it and sell memberships. I bet if people had to pay the full price for what there trying to get their neigbors to subsidize, they'd have zero interest in an Aquatic Center."
"24","SvftOmel","Port Townsend (within city limits)","55-64","Huge disappointment that a half million paid a new city staff person over 3-4 yrs to explore PT pool to no avail. Good effort but wasted dollars."
"25","12C4FPY8","Port Ludlow","55-64",""
"26","4oC4CVQ7","Port Ludlow","75+",""
"27","bpB6Wvfs","Port Ludlow","75+",""
"28","iekbwYoW","Port Ludlow","65-74","If you built something like the Haselwood Y in Silverdale, with weightlifting, bicycling and weight training equipment, then a pool makes sense.  A pool by itself has little yo no value and serves just a tiny sliver if the community’s needs.  Why not collaborate with the Y in order to build something?  We all know the Y in Port Townsend should be demolished."
"29","1KEBaXmb","Port Townsend (within city limits)","35-54","I live in PT and would not drive to Hadlock to use the pool.  Our daughter walks/bikes to swim club at Mountain View 2x/week, but we would probably not drive her to a facility in Hadlock.  Hadlock is not walkable/bikeable.  I'm sure we would use the facility occasionally, but probably not regularly."
