"","Response.ID","City.area","Age","Comments"
"1","NhkQld3v","Quilcene","65-74","Hadlock"
"2","rcDT90D9","Port Hadlock-Irondale","65-74",""
"3","MJC4Ok4W","Port Townsend (outside the city limits)","65-74",""
"4","GOB62Idy","Port Townsend (within city limits)","55-64","We're less likely to use a facility in Port Hadlock than a facility located closer to Port Townsend. We would still use it but at a lower frequency because it would require driving to get there."
"5","TDCiaB8i","Marrowstone","75+",""
"6","ZREBdA4z","Port Townsend (within city limits)","65-74","This needs to be built as a multi-use fitness center. Pool, weight room, aerobics classes, indoor track around it all."
"7","1VC49BvM","Port Townsend (within city limits)","35-54",""
"8","51CKf88s","Port Townsend (outside the city limits)","65-74","We need a new facility and should not scrimp on one now just because it is expensive. It will get more expensive & a bare bones facility will not provide enough options to have a reasonable ROI."
"9","6zEBBJ16","Port Townsend (outside the city limits)","18-34",""
"10","d4DTntZh","Port Hadlock-Irondale","65-74","I am very excited about the possibility that the new center will be located near the primary school and library in Port Hadlock. We take care of our toddler granddaughter 2 days or more a week. I would love to have a place to take her for swim lessons and recreation and I would certainly use a fitness room and the pool 4 or more days a week. Right now we have to drive 5 miles to work out at Evergreen Fitness. I love the idea of a community gathering place/pool/fitness center in Port Hadlock, which IS the designated Urban Growth Area of Jefferson County."
"11","TJB6es9I","Marrowstone","35-54","I think it is essential for ALL kids to learn how to swim proficiently so that ALL adults can swim proficiently, particularly when living amongst so much open water. I was taught in a community pool at 6 months of age and prioritized teaching my children at a young age (but a little older for ears safety). I would love to see a nice, functional pool happen. I don’t believe in anything state of the art or competition level- it is too much financial burden on the majority of this community. I also believe a pool is extremely beneficial to the vast older population for health purposes or for those recovering from injuries. EDUCATION is key. Please promote swimming programs in the school systems (elementary) and make it accessible for all, not just the financially privileged. In the end, I am fully comfortable swimming in our cold waters 6 months out of the year so I do not need this pool, however I do believe it is optimal for all in our community to have access to one, especially if it can be incorporated into our early education programs. If adding a gym or cafe makes it more appealing, so be it. I will support that. Thank you for this convenient opportunity to voice an opinion."
"12","KnB6knvX","Port Townsend (outside the city limits)","65-74",""
"13","J5CKMuCf","Port Townsend (outside the city limits)","35-54",""
