Response.ID,City.area,city.area.revised
GVC4NW2g,Other (Please specify) - LELAND,Quilcene
K9Ci531w,Other (Please specify) - Beckett Point,Cape George
GHCYCiep,"Other (Please specify) - The Highlands, off of Blue Sky Dr",Cape George
qrCKsEfc,Other (Please specify) - Near Beckett point off Cape George Rd,Cape George
RQC4EUti,Other (Please specify) - Eaglemount,Discovery Bay
K3C4qDN7,Other (Please specify) - Oak Bay,Port Ludlow
H7kuc111,Other (Please specify) - Facing Hood Canal on Thorndyke,Port Ludlow
LUCKEZa0,Other (Please specify) - Four Corners/Adelma Beach,Port Townsend (outside the city limits)
Bfk2vabQ,Other (Please specify) - Egg and I,Chimacum
fpB6zSde,Other (Please specify) - Ocean Grove,Port Townsend (outside the city limits)
Q8CKjPvP,Other (Please specify) - Swansonville,Port Ludlow
WkB6VVNS,Other (Please specify) - Eaglemount,Discovery Bay
JjCKdak8,Other (Please specify) - I split time b/w PT and Quilcene,
S2kEqMSE,Other (Please specify) - Off of Prospect Ave.,Port Townsend (outside the city limits)
bIEBtVCX,Other (Please specify) - Leland,Quilcene
08fzd3vQ,Other (Please specify) - Paradise Bay,Port Ludlow
frB6Md0y,Other (Please specify) - Coyle Peninsula (Quilcene),Coyle
ReC4A64s,Other (Please specify) - Sequim,REMOVE
onCYFgye,Other (Please specify) - Discovery Bay,Discovery Bay
9UEB5zTZ,Other (Please specify) - Beckett Point,Cape George
6NC4ek17,Other (Please specify) - Near Bridgehaven,Port Ludlow
79CiTutM,Other (Please specify) - 4 corners,Port Townsend (outside the city limits)
yFCiA4P7,Other (Please specify) - Lake Leland,Quilcene
oJCYcz7d,Other (Please specify) - Dabob,Quilcene
A9kIw32J,Other (Please specify) - Oak Bay,Port Hadlock-Irondale
i0CKjxoY,Other (Please specify) - Four corners,Port Townsend (outside the city limits)
V2DTsdnm,Other (Please specify) - Discovery Bay,Discovery Bay
c2CKeZgH,Other (Please specify) - Orher,
ewEBmEFF,Other (Please specify) - Woodland Hills,Port Townsend (within city limits)
ipC4px9w,Other (Please specify) - Chimacum & Port Townsend,
l5CixaHA,Other (Please specify) - Paradise Bay,Port Ludlow
juCiBz0X,Other (Please specify) - Beaver Valley,Chimacum
2HC4myE0,Other (Please specify) - Ocean Grove near Beckett Point,Port Townsend (outside the city limits)
77C4soVB,Other (Please specify) - Forks,REMOVE
FtCiJofy,Other (Please specify) - Forks,REMOVE
juCKJKuU,"Other (Please specify) - Tarboo valley, Quilceneaddress, Chimacum school districy",Quilcene
4KDTzF1R,Other (Please specify) - Paradise Bay,Port Ludlow
h0fyjJDB,Other (Please specify) - Shine,Port Ludlow
bCDTV3jt,"Other (Please specify) - Port Townsend part of the year, and Hadlock for the other half.",
GwEBLJXy,Other (Please specify) - Olympic peninsula,
V8DTDhgW,Other (Please specify) - 1 1/2 miles south of Port Townsend on Cape George Rd,Port Townsend (outside the city limits)
STEBag2h,Other (Please specify) - Port Ludlow,Port Ludlow
5bC4Y1k4,Other (Please specify) - Port Ludlow,Port Ludlow
