"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"4","xVCYf2V0","166.198.252.113","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","1/31/2025 21:21","1/31/2025 21:26","4 mins 17 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","0","0","2","0","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotel pools","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"11","oLCYTVQZ","98.97.34.244","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone17,1;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR2u_qW8czN_Bx7nXk1e73X483ww1q_OpmNopR7r3nWybCDoC9GOVzxCa4k_aem_46OgUDPOGwuv9Ak22qGLuw&lang=en","2/1/2025 9:05","2/1/2025 9:08","3 mins 17 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","35-54","1","","","","1","","","","Not important",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotel while traveling","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","Stop trying to shove this thing down our throats! We voted NO."
"12","NRB6z6zn","66.115.149.13","Mozilla/5.0 (Linux; Android 9; SM-G950U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.97 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/497.0.0.47.36;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawILNPhleHRuA2FlbQIxMQABHSb93V0eDB0h4bdxlbvq5kRbpyvgrhyA_KiXz_lh5zrl88hVTjB5AuPn_g_aem_5T08W8nzmJj2scr6BTUOJw&lang=en","2/1/2025 9:11","2/1/2025 9:17","6 mins 7 secs ","Pool Support and Amenities","Yes, I live here full-time","Brinnon","55-64","","","","","","1","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Ocean Shores","Less than once a month","Very likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","I strongly support building this facility and having an aquatic facility for our community. Happy to pay additional tax to support!!"
"29","VWCYUW6I","24.113.165.120","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 10:37","2/1/2025 10:55","18 mins 16 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","18-34","","","","2","","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Mountlake Terrace Recreation Pavilion","Less than once a month","Very likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Several times a month","Yes","Having a facility that works with local scuba shops will help facilitate a vibrant community of diving professionals and the general public. It is also very important to have a pricing structure that allows anyone to use the pool while raising enough funds for continued maintenance and growth without the need for outside fickle funding sources such as city or county budgets."
"89","d4DTntZh","24.113.160.13","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 13:22","2/1/2025 13:34","11 mins 37 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","65-74","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Yes","Other (Please specify) - Arne Hanna Aquatic Center-Bellingham","Don't use an aquatic facility","Somewhat likely","Very likely","Very likely","Not likely","Very likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","More than once a week","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Yes","I am very excited about the possibility that the new center will be located near the primary school and library in Port Hadlock. We take care of our toddler granddaughter 2 days or more a week. I would love to have a place to take her for swim lessons and recreation and I would certainly use a fitness room and the pool 4 or more days a week. Right now we have to drive 5 miles to work out at Evergreen Fitness. I love the idea of a community gathering place/pool/fitness center in Port Hadlock, which IS the designated Urban Growth Area of Jefferson County."
"96","FYC4sgaC","24.113.169.118","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21G93 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone12,8;FBMD/iPhone;FBSN/iOS;FBSV/17.6.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR3JKdL2bAaic6nN_SG7omWKANXaQDLsRsfP1PwPwN2NfkKZqiVPs88jkv4_aem_ydd3lVmPLntMx8HW_aSZhg&lang=en","2/1/2025 13:54","2/1/2025 14:01","6 mins 21 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","2","","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - out of state","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Less than once a month","Yes","I wholeheartedly support the new choice of location, I did NOT support the plan to build the aquatic center on the pt golf course. My main desire for a pool is for others, mainly children who need to learn to swim safely due to our maritime environment"
"103","izDTysaX","24.113.174.195","Mozilla/5.0 (Linux; Android 14; SM-S911U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.0.0.54.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 14:15","2/1/2025 14:20","4 mins 55 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - West Seattle pool","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"107","1bCKmlez","24.113.158.6","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 14:24","2/1/2025 14:38","14 mins 10 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Yes","Other (Please specify) - Green Valley, Arizona recreational facility w/pool","Less than once a month","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes","We feel the community would benefit from a full YMCA however, expanding to a full recreational center would increase our likelihood of using it. We believe that having a community space would strengthen the ties we all need to bring people together for fun, recreation and support."
"141","AGDTtrmm","24.113.169.240","Mozilla/5.0 (Linux; Android 14; SM-S918U1 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.0.0.54.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 15:31","2/1/2025 15:38","6 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","55-64","","","","","","2","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Daughter's townhouse club pool silverdale","Don't use an aquatic facility","","Somewhat likely","","","","","","","","","","","","","","","","","Less than once a month","","","","","","","","","","","","","Somewhat likely","","","","Less than once a month","No","I don't need my taxes to go up."
"160","VfCYBgCE","24.113.157.166","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G81 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/16.6.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 16:16","2/1/2025 16:20","4 mins 46 secs ","Pool Support and Amenities","Yes, I live here part-time","Port Townsend (within city limits)","35-54","0","0","0","0","2","0","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Lynnwood Recreation","Less than once a month","Very likely","Very likely","Not likely","Somewhat likely","Somewhat likely","","","","","Somewhat likely","","","Somewhat likely","Very likely","Very likely","Somewhat likely","Not likely","Very likely","Several times a month","Very likely","Somewhat likely","","","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Several times a month","Yes",""
