IP.address,Number_of_Responses,Unique_User_Agents,Unique_Cities,Unique_Ages,Unique_Mobile_Devices,Unique_PC_Devices,Avg_Time_Between_Entries_Min,Median_Time_Between_Entries_Min,Entries_Under_10min_Apart,Pool_Importance_Prop,TaxSupport_Prop,Pool_Importance_Prop_NonRepeat,TaxSupport_Prop_NonRepeat,Flag_Further_Investigation,Reviewer_Notes,Mean_Time_Taken_Seconds,Time_Taken_Range_Seconds,Mean_Time_Taken_Seconds_NonRepeat,Time_Taken_Range_Seconds_NonRepeat,Avg_Questions_Answered,Avg_Questions_Answered_NonRepeat,Prop_Duplicate_Responses,Unique_Response_Ratio,Hour_of_Day_STD,All_Mobile_User_Agents
64.184.145.20,83,7,10,4,2,5,365.5609756097561,2.0,57,"{'Very important': 0.458, 'Somewhat important': 0.301, 'Not important': 0.217, 'No opinion/more information needed': 0.024}","{'Yes': 0.633, 'No': 0.266, ""I don't know/need more information"": 0.101}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",True,83 entries; many <10 min apart; consistent pro-pool/tax responses,534.8192771084338,50-3206,513.0216091954023,23-3481,45.01204819277108,45.900689655172414,0.0,1.0,2.86,False
209.166.87.82,20,18,1,4,11,7,3940.157894736842,1004.0,1,"{'Very important': 0.7, 'Somewhat important': 0.2, 'Not important': 0.1}","{'Yes': 0.85, ""I don't know/need more information"": 0.1, 'No': 0.05}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",True,20 entries; mostly pro-pool/tax; many from mobile devices,536.65,244-1045,513.0216091954023,23-3481,43.4,45.900689655172414,0.0,1.0,3.99,False
209.166.69.49,15,13,2,4,4,9,4020.1428571428573,1151.5,0,"{'Not important': 0.4, 'Very important': 0.333, 'Somewhat important': 0.2, 'No opinion/more information needed': 0.067}","{'Yes': 0.571, 'No': 0.357, ""I don't know/need more information"": 0.071}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,15 entries; more balanced responses; not tightly clustered,389.8666666666667,198-849,513.0216091954023,23-3481,41.13333333333333,45.900689655172414,0.0,1.0,4.24,False
24.113.125.226,14,2,6,4,0,2,779.7692307692307,16.0,6,"{'Very important': 0.643, 'Somewhat important': 0.286, 'No opinion/more information needed': 0.071}","{'Yes': 0.643, ""I don't know/need more information"": 0.143, 'No': 0.143, 'I am not a Jefferson County voter': 0.071}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",True,14 entries; some clustering; mostly pro-pool,423.35714285714283,220-1041,513.0216091954023,23-3481,48.0,45.900689655172414,0.0,1.0,2.18,False
66.133.58.231,13,9,2,3,6,3,6462.333333333333,2780.0,0,"{'Not important': 0.769, 'Very important': 0.154, 'Somewhat important': 0.077}","{'No': 0.846, ""I don't know/need more information"": 0.077, 'Yes': 0.077}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",True,13 entries; heavily anti-pool/tax responses,562.5384615384615,278-1139,513.0216091954023,23-3481,49.84615384615385,45.900689655172414,0.0,1.0,5.79,False
104.28.116.131,12,7,8,4,6,1,6685.090909090909,5657.0,0,"{'Very important': 0.545, 'Somewhat important': 0.273, 'Not important': 0.182}","{'Yes': 0.727, 'No': 0.182, 'I am not a Jefferson County voter': 0.091}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",True,,481.0,68-1372,513.0216091954023,23-3481,46.0,45.900689655172414,0.0,1.0,4.25,False
66.133.58.232,12,11,4,4,6,5,4027.6363636363635,2469.0,1,"{'Not important': 0.583, 'Somewhat important': 0.25, 'Very important': 0.083, 'No opinion/more information needed': 0.083}","{'No': 0.583, 'Yes': 0.333, ""I don't know/need more information"": 0.083}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,475.5833333333333,282-846,513.0216091954023,23-3481,46.75,45.900689655172414,0.0,1.0,5.82,False
104.28.116.130,10,6,5,4,5,1,6873.111111111111,2846.0,1,"{'Very important': 0.556, 'Not important': 0.333, 'Somewhat important': 0.111}","{'Yes': 0.556, ""I don't know/need more information"": 0.222, 'No': 0.222}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,561.1,72-950,513.0216091954023,23-3481,45.6,45.900689655172414,0.0,1.0,2.95,False
104.28.116.134,10,5,4,5,3,2,6230.444444444444,2252.0,1,"{'Very important': 0.9, 'Not important': 0.1}","{'Yes': 0.8, ""I don't know/need more information"": 0.1, 'No': 0.1}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,544.4,294-936,513.0216091954023,23-3481,52.1,45.900689655172414,0.0,1.0,2.88,False
104.28.116.136,10,6,4,5,4,2,3181.6666666666665,1512.0,0,"{'Very important': 0.8, 'Somewhat important': 0.1, 'Not important': 0.1}","{'Yes': 0.7, ""I don't know/need more information"": 0.2, 'No': 0.1}","{'Very important': 0.555, 'Not important': 0.214, 'Somewhat important': 0.202, 'No opinion/more information needed': 0.029}","{'Yes': 0.607, 'No': 0.266, ""I don't know/need more information"": 0.113, 'I am not a Jefferson County voter': 0.014}",False,,586.2,250-1300,513.0216091954023,23-3481,49.3,45.900689655172414,0.0,1.0,4.16,False
