"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","Age7_12","Age13_18","Age19_34","Age35_54","Age55-64","Age65_74","Age75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","Age7_12_Non.swimmer","Age7_12_Beginner","Age7_12_Intermediate","Age7_12_Advanced","Age13_18_Non.swimmer","Age13_18_Beginner","Age13_18_Intermediate","Age13_18_Advanced","Age19_34_Non.swimmer","Age19_34_Beginner","Age19_34_Intermediate","Age19_34_Advanced","Age35_54_Non.swimmer","Age35_54_Beginner","Age35_54_Intermediate","Age35_54_Advanced","Age55-64_Non.swimmer","Age55-64_Beginner","Age55-64_Intermediate","Age55-64_Advanced","Age65_74_Non.swimmer","Age65_74_Beginner","Age65_74_Intermediate","Age65_74_Advanced","Age75_older_Non.swimmer","Age75_older_Beginner","Age75_older_Intermediate","Age75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"1","rAEB9c7P","174.224.207.144","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","1/31/2025 17:25","1/31/2025 17:29","4 mins 18 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","1","1","","2","","","","Very important",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Port Townsend Y/Mountain View Pool,Oak Harbor Community Pool,North Kitsap Community Pool,Bainbridge Island,Olympic Aquatic Center - Bremerton","More than once a week","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Not likely","Very likely","Very likely","Not likely","Very likely","Very likely","More than once a week","Not likely","Not likely","Somewhat likely","Not likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","More than once a week","Yes","Yay!"
"2","1KDTGMhx","24.113.160.180","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","1/31/2025 17:26","1/31/2025 17:51","25 mins 18 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","","1","","","2","","","","Very important",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Silverdale Y,Port Townsend Y/Mountain View Pool,Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Several times a month","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Very likely","More than once a week","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","More than once a week","Yes","I feel that improved aquatic programming is essential for promoting water safety, while also supporting community wellness. We need more healthy indoor activities in this community!"
"3","IoCKXw1a","174.231.138.83","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","PARTIAL","https://survey.zohopublic.com/zs/7rClYe?lang=en","1/31/2025 17:53","1/31/2025 17:55","2 mins 36 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","xVCYf2V0","166.198.252.113","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","1/31/2025 21:21","1/31/2025 21:26","4 mins 17 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","0","0","2","0","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotel pools","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"5","YwDTzgNp","216.122.10.184","Mozilla/5.0 (Linux; Android 14; SM-G998U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.24 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/486.0.0.66.70;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawILMDNleHRuA2FlbQIxMQABHcEQu97S2ElfBxMZHkKqVTcPeRI4HAdVVidsl7MJoK9tt76vuRHYVSRKqA_aem_4yMcQKqzcr8a5HYUyPgXwA&lang=en","2/1/2025 8:50","2/1/2025 8:55","4 mins 55 secs ","Pool Support and Amenities","Yes, I live here full-time","Brinnon","35-54","1","","","","2","","","","Not important",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Silverdale Y","Less than once a month","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Less than once a month","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Less than once a month","No","Please abandon this boondoggle.  The county can't manage its existing facilities.  If this ever were to be successful a private entity would need to do it."
"6","NhkQld3v","174.231.130.91","Mozilla/5.0 (Linux; Android 14; SM-G990U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.131 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/493.0.0.72.158;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawILMWxleHRuA2FlbQIxMQABHa8-YObdejiW8UTIn5KNwYSpHLFLjtukinkz1pJEj3-ani_bwtwGT685yg_aem__sVdbLS-UW6y7vQktOJzaQ&lang=en","2/1/2025 8:55","2/1/2025 9:03","7 mins 35 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","65-74","0","0","0","0","0","0","1","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Very likely","Very likely","","Very likely","","","Very likely","","","Somewhat likely","Very likely","","","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Several times a month","","","","","Very likely","Very likely","","Very likely","","Very likely","","","","","","","Several times a month","Yes","Hadlock"
"7","aifBM6kn","174.227.13.133","Mozilla/5.0 (Linux; Android 15; Pixel 7 Pro Build/AP4A.250105.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.97 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/497.0.0.47.36;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawILMcJleHRuA2FlbQIxMQABHWe45vPxLV0DZKGs2MsUSFnJ5dNQtnv9yxtfIuowN692XmXrpCm2BoLkiw_aem_5rD6QwTRoX_gOAw9W_Zkqg&lang=en","2/1/2025 8:57","2/1/2025 9:08","10 mins 38 secs ","Pool Support and Amenities","Yes, I live here part-time","Brinnon","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","","","","","","","","","","","","","","","","","Never","No","Let Hadlock residents pay for a pool and maintenance of it if they want one ."
"8","ehEBUKfq","24.113.152.163","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe??lang=en","2/1/2025 8:57","2/1/2025 9:01","4 mins 23 secs ","Pool Support and Amenities","Yes, I live here full-time","Discovery Bay","65-74","2","","","","","","","","Very important",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Other (Please specify) - Hotels","Less than once a month","Very likely","Very likely","","","","","","","","","","","","","","","","","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","To succeed, the aquatic center must use the lowest cost, fastest building methods and materials. Sprung and Myrtha products are the only way forward to keep down costs to what we can afford."
"9","hyCYQjqi","98.97.43.40","Mozilla/5.0 (Linux; Android 13; SM-G988U Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.0.0.54.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawILMfVleHRuA2FlbQIxMQABHVJ5CTR9APnMftDb1Cc0j5NRBY3nfDl0GEq7J6F-O8EXpp5hexNwo0nMXA_aem_HE_9fXX9OSe61XNujj5X3Q&lang=en","2/1/2025 8:58","2/1/2025 9:02","4 mins 28 secs ","Pool Support and Amenities","Yes, I live here part-time","Brinnon","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y","More than once a week","Very likely","Very likely","Very likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"10","IyDTlS3G","172.56.108.85","Mozilla/5.0 (Linux; Android 14; SM-A546U1 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.0.0.54.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawILMg9leHRuA2FlbQIxMQABHQ4S5n6e3HOmoG69gQTU2afEDKaiQPgAL1JJ9nSQ9lmdREW7L81stNdVvA_aem_l_9TGk9xFwTXc5SVyDGqBw&lang=en","2/1/2025 8:58","2/1/2025 9:04","5 mins 33 secs ","Pool Support and Amenities","Yes, I live here full-time","Chimacum","35-54","","","1","1","2","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Silverdale Y","Several times a month","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","More than once a week","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","More than once a week","I don't know/need more information",""
