"","City.area","Census_AllAges","Census_AllAges_Pct","Census_AdultsOnly","Census_AdultsOnly_Pct","Survey_AllAges","Survey_Represented_Pct"
"1","Port Townsend (within city limits)","10148","30.77","8813","30.85","2445","39.22"
"2","Port Ludlow","5058","15.34","4618","16.17","527","8.45"
"3","Port Hadlock-Irondale","3805","11.54","3041","10.65","627","10.06"
"4","Port Townsend (outside city limits)","2014","6.11","1706","5.97","886","14.21"
"5","Cape George","1875","5.69","1671","5.85","101","1.62"
"6","Chimacum","1837","5.57","1536","5.38","418","6.71"
"7","Quilcene","1689","5.12","1406","4.92","386","6.19"
"8","Kala Point","1566","4.75","1422","4.98","132","2.12"
"9","Brinnon","1341","4.07","1182","4.14","231","3.71"
"10","Marrowstone","995","3.02","879","3.08","272","4.36"
"11","Discovery Bay","964","2.92","811","2.84","105","1.68"
"12","West End","776","2.35","667","2.34","7","0.11"
"13","Gardiner","468","1.42","427","1.49","31","0.5"
"14","Coyle","441","1.34","384","1.34","66","1.06"
"15","Total","32977","100.01","28563","100","6234","100"
