"","City.area","TotalRepresented","TotalRepOver18","PropRepresented","PropRepOver18"
"1","Brinnon",231,189,0.0370548604427334,0.0389931916649474
"2","Cape George",101,88,0.0162014757779917,0.018155560140293
"3","Chimacum",418,300,0.067051652229708,0.061893955023726
"4","Coyle",66,48,0.0105871029836381,0.00990303280379616
"5","Discovery Bay",105,75,0.0168431183830606,0.0154734887559315
"6","Gardiner",31,22,0.00497273018928457,0.00453889003507324
"7","Kala Point",132,118,0.0211742059672762,0.0243449556426656
"8","Marrowstone",272,200,0.0436316971446904,0.041262636682484
"9","Port Hadlock-Irondale",627,458,0.100577478344562,0.0944914380028884
"10","Port Ludlow",527,433,0.0845364132178377,0.0893336084175779
"11","Port Townsend (outside city limits)",886,690,0.142123837022778,0.14235609655457
"12","Port Townsend (within city limits)",2445,1920,0.392204042348412,0.396121312151846
"13","Quilcene",386,304,0.0619185113891562,0.0627192077573757
"14","West End",7,2,0.00112287455887071,0.00041262636682484
