City/Area,Data Treatment,Yes,No,Need more info,,,,
Brinnon,Raw Responses,12,76,9,,,,
,Weighted Responses,174,825,126,,,,
Cape George,Raw Responses,25,13,5,,,,
,Weighted Responses,907,444,188,,,,
Chimacum,Raw Responses,99,29,18,,,,
,Weighted Responses,1024,299,167,,,,
Coyle,Raw Responses,6,8,7,,,,
,Weighted Responses,96,160,118,,,,
Discovery Bay,Raw Responses,21,10,5,,,,
,Weighted Responses,409,217,107,,,,
Gardiner,Raw Responses,8,3,0,,,,
,Weighted Responses,193,73,0,,,,
Kala Point,Raw Responses,34,21,8,,,,
,Weighted Responses,721,382,228,,,,
Marrowstone,Raw Responses,73,16,15,,,,
,Weighted Responses,581,120,131,,,,
Port Hadlock-Irondale,Raw Responses,158,43,27,,,,
,Weighted Responses,2062,553,287,,,,
Port Ludlow,Raw Responses,94,109,28,,,,
,Weighted Responses,1941,1979,523,,,,
Port Townsend (outside city limits),Raw Responses,230,99,32,,,,
,Weighted Responses,1062,443,150,,,,
Port Townsend (within city limits),Raw Responses,706,199,102,,,,
,Weighted Responses,5924,1651,846,,,,
Quilcene,Raw Responses,63,65,22,,,,
,Weighted Responses,553,598,165,,,,
West End,Raw Responses,0,4,0,,,,
,Weighted Responses,0,394,0,,,,
