"","City.area","Need more info_Raw","No_Raw","Yes_Raw","Need more info_Weighted","No_Weighted","Yes_Weighted"
"1","Brinnon",9.27835051546392,78.3505154639175,12.3711340206186,11.1957882900151,73.3645122543382,15.4396994556467
"2","Cape George",11.6279069767442,30.2325581395349,58.1395348837209,12.2066430451415,28.8558791533804,58.9374778014781
"3","Chimacum",12.3287671232877,19.8630136986301,67.8082191780822,11.2131080669212,20.0793339218945,68.7075580111843
"4","Coyle",33.3333333333333,38.0952380952381,28.5714285714286,31.5166898137062,42.8236195584503,25.6596906278435
"5","Discovery Bay",13.8888888888889,27.7777777777778,58.3333333333333,14.665009786961,29.5476880842734,55.7873021287655
"6","Gardiner",0,27.2727272727273,72.7272727272727,0,27.4436090225564,72.5563909774436
"7","Kala Point",12.6984126984127,33.3333333333333,53.968253968254,17.1428912014686,28.6771805600258,54.1799282385056
"8","Marrowstone",14.4230769230769,15.3846153846154,70.1923076923077,15.7273658734183,14.4033655153837,69.8692686111981
"9","Port Hadlock-Irondale",11.8421052631579,18.859649122807,69.2982456140351,9.88174600314556,19.0485026176293,71.0697513792252
"10","Port Ludlow",12.1212121212121,47.1861471861472,40.6926406926407,11.777889784211,44.5373062978453,43.6848039179437
"11","Port Townsend (outside city limits)",8.86426592797784,27.4238227146814,63.7119113573407,9.04924022566336,26.7644864068439,64.1862733674927
"12","Port Townsend (within city limits)",10.12909632572,19.7616683217478,70.1092353525323,10.0431558336475,19.6068679148954,70.3499762514571
"13","Quilcene",14.6666666666667,43.3333333333333,42,12.5651320070891,45.4126503659018,42.0222176270091
"14","West End",0,100,0,0,100,0
