Geographic Area (Survey),Under_7,Age_7_12,Age_13_18,Age_19_34,Age_35_54,Age_55_64,Age_65_74,Age_75_plus
Brinnon,41,87,31,117,258,306,306,195
Cape_George,39,97,68,146,307,310,574,334
Chimacum,76,143,82,264,418,327,366,161
Coyle,17,22,18,16,112,89,131,36
Discovery_Bay,35,81,37,105,174,185,232,115
Gardiner,15,16,10,26,82,119,128,72
Kala_Point,24,75,45,83,209,276,522,332
Marrowstone,25,67,24,80,165,184,280,170
Port_Hadlock_Irondale,180,407,177,583,860,608,626,364
Port_Ludlow,106,217,117,367,756,918,1460,1117
Port_Townsend_outsidecitylimits,80,154,74,257,433,407,400,209
Port_Townsend_insidecitylimits,278,737,320,1056,1954,1674,2543,1586
Quilcene,54,158,71,244,341,313,344,164
West_End,26,50,33,237,264,82,48,36
