Area Name,Area ID,Age Group,2020 Census,2024 OFM Estimate,Difference
Jefferson,53031,0_4,997,785,-212
Jefferson,53031,5_9,1126,1069,-57
Jefferson,53031,10_14,1187,1185,-2
Jefferson,53031,15_19,1108,1166,58
Jefferson,53031,20_24,870,928,57
Jefferson,53031,25_29,1194,973,-221
Jefferson,53031,30_34,1519,1444,-75
Jefferson,53031,35_39,1633,1718,85
Jefferson,53031,40_44,1499,1707,208
Jefferson,53031,45_49,1439,1548,110
Jefferson,53031,50_54,1766,1662,-104
Jefferson,53031,55_59,2372,2024,-348
Jefferson,53031,60_64,3429,2847,-581
Jefferson,53031,65_69,4099,3931,-168
Jefferson,53031,70_74,3865,4165,300
Jefferson,53031,75_79,2575,3389,813
Jefferson,53031,80_84,1260,1911,651
Jefferson,53031,85+,1042,1250,208
Jefferson,53031,Total,32977,33700,723
