Verified,resident_names_old,colnames.new
x,Response.ID,Response.ID
x,IP.address,IP.address
x,User.agent,User.agent
x,Response.status,Response.status
x,Survey.URL.accessed.by.the.respondent,Survey.URL
x,Start.time,Start.time
x,Completion.time,Completion.time
x,Time.taken,Time.taken
x,Collector,Collector
x,Do.you.live.in.Jefferson.County.,JeffCo.resident
x,In.which.city.or.area.do.you.live...select.one.,City.area
x,What.is.your.age...select.one.,Age
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..Under.7....Number.of.Individuals..,Under7
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..7.12....Number.of.Individuals..,7_12
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..13.18....Number.of.Individuals..,13_18
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..19.34....Number.of.Individuals..,19_34
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..35.54....Number.of.Individuals..,35_54
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..55.64....Number.of.Individuals..,55-64
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..65.74....Number.of.Individuals..,65_74
x,Please.select.the.number.of.individuals.in.your.household.by.age.group..75.....Number.of.Individuals..,75_older
x,Mountain.View.Pool..located.in.Port.Townsend..is.Jefferson.County.s.only.public.pool..Built.in.1963..it.has.outlived.its.intended.lifespan..requires.significant.maintenance..and.is.closed.periodically.for.unexpected.major.repairs..Even.if.rehabilitated..the.size.and.design.are.not.capable.of.supporting.community.demand..It.lacks.the.accessibility.features.needed.for.many.children.s.programs.and.those.with.limited.mobility..Additionally..it.is.not.centrally.located.for.many.East.Jefferson.County.residents.In.your.opinion..how.important.is.it.to.have.a.new.public.aquatic.facility..The.proposed.building.site.is.located.in.Port.Hadlock..adjacent.to.the.County.Library.and.Chimacum.Creek.Primary.School..select.one.,RateNewPoolImportance
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Non.swimmer..,Under7_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Beginner..,Under7_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Intermediate..,Under7_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..Under.7....Advanced..,Under7_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Non.swimmer..,7_12_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Beginner..,7_12_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Intermediate..,7_12_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..7.12.Years....Advanced..,7_12_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Non.swimmer..,13_18_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Beginner..,13_18_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Intermediate..,13_18_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..13.18.Years....Advanced..,13_18_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Non.swimmer..,19_34_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Beginner..,19_34_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Intermediate..,19_34_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..19.34.Years....Advanced..,19_34_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Non.swimmer..,35_54_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Beginner..,35_54_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Intermediate..,35_54_Intermediate
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..35.54.Years....Advanced..,35_54_Advanced
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Non.swimmer..,55-64_Non.swimmer
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Beginner..,55-64_Beginner
x,Understanding.the.swimming.abilities.of.our.community.is.essential.when.planning.aquatic.programming..as.it.helps.ensure.the.aquatic.center.meets.the.needs.of.all.residents..from.beginners.to.advanced.swimmers.Please.provide.the.swimming.abilities.of.the.members.in.your.household.by.selecting.a.number.for.each.age.group.and.swim.ability.level...optional..55.64.Years....Intermediate..,55-64_Intermediate
