Response.ID,Comments
rAEB9c7P,Yay!
1KDTGMhx,"I feel that improved aquatic programming is essential for promoting water safety, while also supporting community wellness. We need more healthy indoor activities in this community!"
YwDTzgNp,Please abandon this boondoggle.  The county can't manage its existing facilities.  If this ever were to be successful a private entity would need to do it.
NhkQld3v,Hadlock
aifBM6kn,Let Hadlock residents pay for a pool and maintenance of it if they want one .
ehEBUKfq,"To succeed, the aquatic center must use the lowest cost, fastest building methods and materials. Sprung and Myrtha products are the only way forward to keep down costs to what we can afford."
oLCYTVQZ,Stop trying to shove this thing down our throats! We voted NO.
NRB6z6zn,I strongly support building this facility and having an aquatic facility for our community. Happy to pay additional tax to support!!
nhCi0qb1,"Jefferson County, certainly cannot afford a facility like an aquatic center when their failure to keep up with general maintenance is blatantly obvious! To encumber an already overtaxed population for the benefit of very few is obscene!"
OqEBYhpk,"Please include kid-focused features (lazy river, slide, etc.). We often make the drive to Port Angeles and Silverdale for these features because the Mountain View pool lacks a kid area and it's hard to convince our 8 year old to swim there."
ebCinu1X,Waste of time energy and money. It is my belief there are much bigger priorities than a pool.
L9CYFNBo,Obvious: Try to keep the cost down so more folks will support the tax increase. I sure hope this happens. We have needed this for over 20 years.
2mEBqjKl,Please put in an indoor climbing wall and indoor and outdoor pickleball!  Nothing to do here in the winter!
PACiwVEY,Curious about cost. How will it be funded for construction and ongoing funding. Is the sales tax adequate.   I understand this question has a depends answer. More information is needed.
ySkEzqSM,South County shouldn’t have to pay for something well very rarely use.
BTfHnjpr,"Go for it, but not at my expense."
0UB653Ly,Jefferson County does a poor job of making facilities accessible to disabled residents.  It is imperative that the facility be barrier-free.
NdksaFh6,"We can’t afford life right now. Taxes have gotten out of control. No new taxes until the basics can be affordable again. We are being taxed out of our homes. Food, gas and insurances are too expensive. We barely make it pay check to pay check."
KcEB2buk,I would not use it myself but do know several who currently use the pool regularly and support the new pool and tax increase to finance it.
VWCYUW6I,Having a facility that works with local scuba shops will help facilitate a vibrant community of diving professionals and the general public. It is also very important to have a pricing structure that allows anyone to use the pool while raising enough funds for continued maintenance and growth without the need for outside fickle funding sources such as city or county budgets.
5dCijlc2,"Although myself and husband wouldn't use the facility as much as others, we support having a facility in the county for children & families to take advantage of. That said, we believe having a proposed facility more centrally located is key to its success. If the purposed facility were to be built within PT city limits, we would not support it or the taxes to fund it."
afCihzFV,Good location. Much better than in town. I think a lot of it it needs to be geared to kids. They need the recreation and swim lessons.
GVC4NW2g,More important uses of public funds. Tax rate already high.
srk4CTiJ,I think it is important for our Jefferson county youth.   Also for competitive swimming with a regulation sized pool
GOB62Idy,We're less likely to use a facility in Port Hadlock than a facility located closer to Port Townsend. We would still use it but at a lower frequency because it would require driving to get there.
3hEB26pX,Please don’t raise our cost of living any more than it already is to build a pool. I struggle to afford the high cost of living here as it is.
M5B6BhW6,Port Townsend would be more accessible to more people.
nTCiuIq4,N/A
4fB6QjlM,"Complete misprioritization of need for this county. We’re struggling with basic needs, and shouldn’t be focused so heavily on luxuries at this time. Not to mention, the creation of the PFD and tax hike give us no guarantee you’ll ever actually build an aquatic center. It’s a ruse and a scam by an already untrusted county government. Regroup."
